"id","name","description","contact_person","contact_email","contact_phone","user_id"
aa95a1da-ac63-11f0-856b-a254c1cab119,Нанотехнологический центр композитов,Разработка и производство композитных материалов нового поколения.,HR-менеджер,hr@nanocomposite.ru,+7 (495) 123-45-67,
aa9781a8-ac63-11f0-856b-a254c1cab119,Медплант,Производство биосовместимых имплантов и медицинских решений.,HR-менеджер,hr@medplant.ru,+7 (495) 123-45-68,
aa978bb2-ac63-11f0-856b-a254c1cab119,Сенсор,Разработка и производство высокоточных сенсоров для промышленности.,HR-менеджер,hr@sensor-tech.ru,+7 (495) 123-45-69,
aa978c8e-ac63-11f0-856b-a254c1cab119,ИНКОРО,Инновационные решения в области микроэлектроники.,HR-менеджер,hr@inkoro.ru,+7 (495) 123-45-70,
aa978d42-ac63-11f0-856b-a254c1cab119,Тест-Контакт,Диагностическое оборудование и тест-системы.,HR-менеджер,hr@test-contact.ru,+7 (495) 123-45-71,
aa978dec-ac63-11f0-856b-a254c1cab119,ПК Экопласт,Производство экологичных полимерных материалов.,HR-менеджер,hr@ecoplast.ru,+7 (495) 123-45-72,
aa978e8c-ac63-11f0-856b-a254c1cab119,Акрус БиоМед,Биотехнологии и разработка лекарственных препаратов.,HR-менеджер,hr@akrusbiomed.ru,+7 (495) 123-45-73,
aa978f2c-ac63-11f0-856b-a254c1cab119,Концерн Гудвин (Гудвин Европа),Промышленная автоматизация и робототехника.,HR-менеджер,hr@goodwin-europe.ru,+7 (495) 123-45-74,
aa978fd6-ac63-11f0-856b-a254c1cab119,Научные развлечения,Интерактивные образовательные технологии и STEM-продукты.,HR-менеджер,hr@sci-entertain.ru,+7 (495) 123-45-75,
aa979076-ac63-11f0-856b-a254c1cab119,Русская технологическая компания,Интеграция передовых технологий в промышленность.,HR-менеджер,hr@rustech.ru,+7 (495) 123-45-76,
aa97910c-ac63-11f0-856b-a254c1cab119,ГемаТех,Лабораторная диагностика и биоаналитика.,HR-менеджер,hr@gematech.ru,+7 (495) 123-45-77,
aa9791a2-ac63-11f0-856b-a254c1cab119,ЦПОСН Ортомода,Цифровые решения в ортопедии и протезировании.,HR-менеджер,hr@orthomoda.ru,+7 (495) 123-45-78,
aa979242-ac63-11f0-856b-a254c1cab119,Амедарт,Медицинские имплантаты и хирургические инструменты.,HR-менеджер,hr@amedart.ru,+7 (495) 123-45-79,
aa9792d8-ac63-11f0-856b-a254c1cab119,Бифорком Тек,Биоинформатика и анализ геномных данных.,HR-менеджер,hr@biforcom.tech,+7 (495) 123-45-80,
aa97936e-ac63-11f0-856b-a254c1cab119,Микробор,Микроэлектронные компоненты для специального назначения.,HR-менеджер,hr@microbor.ru,+7 (495) 123-45-81,
aa97940e-ac63-11f0-856b-a254c1cab119,Диагностика-М,Медицинская диагностика и лабораторные системы.,HR-менеджер,hr@diagnostica-m.ru,+7 (495) 123-45-82,
aa9794a4-ac63-11f0-856b-a254c1cab119,ИВА Технолоджис,Промышленное ПО и автоматизация.,HR-менеджер,hr@iva-tech.ru,+7 (495) 123-45-83,
aa97953a-ac63-11f0-856b-a254c1cab119,Фотоэксперт,Цифровая обработка изображений и фотоника.,HR-менеджер,hr@fotoexpert.ru,+7 (495) 123-45-84,
aa9795da-ac63-11f0-856b-a254c1cab119,Европейская электротехника,Электротехническое оборудование и компоненты.,HR-менеджер,hr@euroelectro.ru,+7 (495) 123-45-85,
aa979da0-ac63-11f0-856b-a254c1cab119,Пьезус,Пьезоэлектрические устройства и сенсоры.,HR-менеджер,hr@piezus.ru,+7 (495) 123-45-86,
aa97a0de-ac63-11f0-856b-a254c1cab119,Аддитивный инжиниринг,"3D-печать и аддитивные технологии.",HR-менеджер,hr@additive-eng.ru,+7 (495) 123-45-87,
aa97a1a6-ac63-11f0-856b-a254c1cab119,Мастерская цифровых решений,Разработка цифровых продуктов и ИТ-решений.,HR-менеджер,hr@digital-solutions.ru,+7 (495) 123-45-88,
aa97a250-ac63-11f0-856b-a254c1cab119,Неорос,Нейротехнологии и интерфейсы мозг-компьютер.,HR-менеджер,hr@neoros.tech,+7 (495) 123-45-89,
aa97aa02-ac63-11f0-856b-a254c1cab119,НПО Композит,Научно-производственное объединение в области композитов.,HR-менеджер,hr@npo-composite.ru,+7 (495) 123-45-90,
