"id","name","category","created_at"
1,Коммуникабельность,soft,"2025-10-19 00:19:11"
2,Работа в команде,soft,"2025-10-19 00:19:11"
3,Решение проблем,soft,"2025-10-19 00:19:11"
4,Критическое мышление,soft,"2025-10-19 00:19:11"
5,Тайм-менеджмент,soft,"2025-10-19 00:19:11"
6,Лидерство,soft,"2025-10-19 00:19:11"
7,Гибкость,soft,"2025-10-19 00:19:11"
8,Креативность,soft,"2025-10-19 00:19:11"
9,Эмоциональный интеллект,soft,"2025-10-19 00:19:11"
10,Разрешение конфликтов,soft,"2025-10-19 00:19:11"
11,Навыки ведения переговоров,soft,"2025-10-19 00:19:11"
12,Публичные выступления,soft,"2025-10-19 00:19:11"
13,Активное слушание,soft,"2025-10-19 00:19:11"
14,Ориентация на клиента,soft,"2025-10-19 00:19:11"
15,Внимание к деталям,soft,"2025-10-19 00:19:11"
16,Самомотивация,soft,"2025-10-19 00:19:11"
17,Стрессоустойчивость,soft,"2025-10-19 00:19:11"
18,Управление проектами,soft,"2025-10-19 00:19:11"
19,Стратегическое мышление,soft,"2025-10-19 00:19:11"
20,Принятие решений,soft,"2025-10-19 00:19:11"
21,Наставничество,soft,"2025-10-19 00:19:11"
22,Коучинг,soft,"2025-10-19 00:19:11"
23,Навыки презентации,soft,"2025-10-19 00:19:11"
24,Письменная коммуникация,soft,"2025-10-19 00:19:11"
25,Аналитическое мышление,soft,"2025-10-19 00:19:11"
26,Исследовательские навыки,soft,"2025-10-19 00:19:11"
27,Организационные навыки,soft,"2025-10-19 00:19:11"
28,Инициативность,soft,"2025-10-19 00:19:11"
29,Ответственность,soft,"2025-10-19 00:19:11"
30,Эмпатия,soft,"2025-10-19 00:19:11"
31,Умение делегировать,soft,"2025-10-19 00:19:11"
32,Работа в условиях неопределённости,soft,"2025-10-19 00:19:11"
33,Многозадачность,soft,"2025-10-19 00:19:11"
34,Самоорганизация,soft,"2025-10-19 00:19:11"
35,Этичное поведение,soft,"2025-10-19 00:19:11"
36,Проактивность,soft,"2025-10-19 00:19:11"
37,Обратная связь (умение давать и принимать),soft,"2025-10-19 00:19:11"
38,Культурная осведомлённость,soft,"2025-10-19 00:19:11"
39,Способность к обучению,soft,"2025-10-19 00:19:11"
40,Адаптивность к изменениям,soft,"2025-10-19 00:19:11"
41,Фокус на результате,soft,"2025-10-19 00:19:11"
42,Построение доверительных отношений,soft,"2025-10-19 00:19:11"
43,Умение работать с возражениями,soft,"2025-10-19 00:19:11"
44,Саморефлексия,soft,"2025-10-19 00:19:11"
45,Управление ожиданиями,soft,"2025-10-19 00:19:11"
46,Работа с обратной связью,soft,"2025-10-19 00:19:11"
47,Эффективное планирование,soft,"2025-10-19 00:19:11"
48,Навыки фасилитации,soft,"2025-10-19 00:19:11"
49,Медиация,soft,"2025-10-19 00:19:11"
50,Python,technical,"2025-10-19 00:19:40"
51,JavaScript,technical,"2025-10-19 00:19:40"
52,TypeScript,technical,"2025-10-19 00:19:40"
53,Java,technical,"2025-10-19 00:19:40"
54,C++,technical,"2025-10-19 00:19:40"
55,C#,technical,"2025-10-19 00:19:40"
56,Go,technical,"2025-10-19 00:19:40"
57,Rust,technical,"2025-10-19 00:19:40"
58,PHP,technical,"2025-10-19 00:19:40"
59,Ruby,technical,"2025-10-19 00:19:40"
60,SQL,technical,"2025-10-19 00:19:40"
61,PostgreSQL,technical,"2025-10-19 00:19:40"
62,MySQL,technical,"2025-10-19 00:19:40"
63,MongoDB,technical,"2025-10-19 00:19:40"
64,Redis,technical,"2025-10-19 00:19:40"
65,Docker,technical,"2025-10-19 00:19:40"
66,Kubernetes,technical,"2025-10-19 00:19:40"
67,Git,technical,"2025-10-19 00:19:40"
68,Linux,technical,"2025-10-19 00:19:40"
69,Bash,technical,"2025-10-19 00:19:40"
70,CI/CD,technical,"2025-10-19 00:19:40"
71,REST API,technical,"2025-10-19 00:19:40"
72,GraphQL,technical,"2025-10-19 00:19:40"
73,React,technical,"2025-10-19 00:19:40"
74,Vue.js,technical,"2025-10-19 00:19:40"
75,Angular,technical,"2025-10-19 00:19:40"
76,Node.js,technical,"2025-10-19 00:19:40"
77,Django,technical,"2025-10-19 00:19:40"
78,Flask,technical,"2025-10-19 00:19:40"
79,Spring Boot,technical,"2025-10-19 00:19:40"
80,FastAPI,technical,"2025-10-19 00:19:40"
81,TensorFlow,technical,"2025-10-19 00:19:40"
82,PyTorch,technical,"2025-10-19 00:19:40"
83,Scikit-learn,technical,"2025-10-19 00:19:40"
84,Pandas,technical,"2025-10-19 00:19:40"
85,NumPy,technical,"2025-10-19 00:19:40"
86,OpenCV,technical,"2025-10-19 00:19:40"
87,Computer Vision,technical,"2025-10-19 00:19:40"
88,NLP,technical,"2025-10-19 00:19:40"
89,Machine Learning,technical,"2025-10-19 00:19:40"
90,Deep Learning,technical,"2025-10-19 00:19:40"
91,Data Analysis,technical,"2025-10-19 00:19:40"
92,Data Engineering,technical,"2025-10-19 00:19:40"
93,ETL,technical,"2025-10-19 00:19:40"
94,Apache Kafka,technical,"2025-10-19 00:19:40"
95,RabbitMQ,technical,"2025-10-19 00:19:40"
96,AWS,technical,"2025-10-19 00:19:40"
97,Azure,technical,"2025-10-19 00:19:40"
98,Google Cloud,technical,"2025-10-19 00:19:40"
99,Terraform,technical,"2025-10-19 00:19:40"
100,Ansible,technical,"2025-10-19 00:19:40"
101,Prometheus,technical,"2025-10-19 00:19:40"
102,Grafana,technical,"2025-10-19 00:19:40"
103,Jenkins,technical,"2025-10-19 00:19:40"
104,GitLab CI,technical,"2025-10-19 00:19:40"
105,GitHub Actions,technical,"2025-10-19 00:19:40"
106,Microservices,technical,"2025-10-19 00:19:40"
107,OAuth2,technical,"2025-10-19 00:19:40"
108,JWT,technical,"2025-10-19 00:19:40"
109,Blockchain,technical,"2025-10-19 00:19:40"
110,Solidity,technical,"2025-10-19 00:19:40"
111,Web3,technical,"2025-10-19 00:19:40"
112,Cybersecurity,technical,"2025-10-19 00:19:40"
113,Penetration Testing,technical,"2025-10-19 00:19:40"
114,Network Security,technical,"2025-10-19 00:19:40"
115,Cryptography,technical,"2025-10-19 00:19:40"
116,DevOps,technical,"2025-10-19 00:19:40"
117,MLOps,technical,"2025-10-19 00:19:40"
118,Agile,methodology,"2025-10-19 00:19:40"
119,Scrum,methodology,"2025-10-19 00:19:40"
120,Kanban,methodology,"2025-10-19 00:19:40"
121,Jira,tool,"2025-10-19 00:19:40"
122,Confluence,tool,"2025-10-19 00:19:40"
123,Notion,tool,"2025-10-19 00:19:40"
124,Figma,tool,"2025-10-19 00:19:40"
125,Postman,tool,"2025-10-19 00:19:40"
126,Swagger,tool,"2025-10-19 00:19:40"
127,Tableau,tool,"2025-10-19 00:19:40"
128,Power BI,tool,"2025-10-19 00:19:40"
129,Excel,tool,"2025-10-19 00:19:40"
130,Matlab,tool,"2025-10-19 00:19:40"
131,CAD,engineering,"2025-10-19 00:19:40"
132,SolidWorks,engineering,"2025-10-19 00:19:40"
133,AutoCAD,engineering,"2025-10-19 00:19:40"
134,MATLAB Simulink,engineering,"2025-10-19 00:19:40"
135,PLC Programming,engineering,"2025-10-19 00:19:40"
136,Embedded Systems,engineering,"2025-10-19 00:19:40"
137,RTOS,engineering,"2025-10-19 00:19:40"
138,FPGA,engineering,"2025-10-19 00:19:40"
139,Verilog,engineering,"2025-10-19 00:19:40"
140,VHDL,engineering,"2025-10-19 00:19:40"
141,Robotics,engineering,"2025-10-19 00:19:40"
142,IoT,engineering,"2025-10-19 00:19:40"
143,"5G",engineering,"2025-10-19 00:19:40"
144,RF Engineering,engineering,"2025-10-19 00:19:40"
145,Signal Processing,engineering,"2025-10-19 00:19:40"
146,Control Systems,engineering,"2025-10-19 00:19:40"
147,Thermodynamics,engineering,"2025-10-19 00:19:40"
148,Fluid Dynamics,engineering,"2025-10-19 00:19:40"
149,Mechanical Design,engineering,"2025-10-19 00:19:40"
150,Electrical Engineering,engineering,"2025-10-19 00:19:40"
151,Power Electronics,engineering,"2025-10-19 00:19:40"
152,PCB Design,engineering,"2025-10-19 00:19:40"
153,Altium Designer,engineering,"2025-10-19 00:19:40"
154,OrCAD,engineering,"2025-10-19 00:19:40"
155,English (B1),language,"2025-10-19 00:19:40"
156,English (B2),language,"2025-10-19 00:19:40"
157,English (C1),language,"2025-10-19 00:19:40"
158,German,language,"2025-10-19 00:19:40"
159,Chinese,language,"2025-10-19 00:19:40"
160,French,language,"2025-10-19 00:19:40"
161,Spanish,language,"2025-10-19 00:19:40"
162,Data Visualization,technical,"2025-10-19 00:19:40"
163,Big Data,technical,"2025-10-19 00:19:40"
164,Hadoop,technical,"2025-10-19 00:19:40"
165,Spark,technical,"2025-10-19 00:19:40"
166,Airflow,technical,"2025-10-19 00:19:40"
167,dbt,technical,"2025-10-19 00:19:40"
168,Looker,tool,"2025-10-19 00:19:40"
169,Metabase,tool,"2025-10-19 00:19:40"
170,Superset,tool,"2025-10-19 00:19:40"
171,ClickHouse,technical,"2025-10-19 00:19:40"
172,Elasticsearch,technical,"2025-10-19 00:19:40"
173,Kibana,tool,"2025-10-19 00:19:40"
174,Logstash,technical,"2025-10-19 00:19:40"
